imdb_id,budget,mpaa_rating,collection_name,collection_id,keywords,production_companies,main_production_company,director,director_id,director_popularity,top_cast,main_actor_name,main_actor_id,main_actor_popularity,cast_popularity_sum,primaryTitle,first_week_revenue,Distributor,runtimeMinutes,genres,Theaters,release_date,year,is_major_holiday,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,competition_count,director_bankability,actor_bankability,director_experience,is_covid_period,dist_cat_Medium,dist_cat_Small,distributor_bankability,mpaa_rank,has_top_yield_genre,has_high_yield_genre,has_medium_yield_genre,has_low_yield_genre,budget_tier_numeric,prequel_revenue,has_prequel,prequel_revenue_fixed,franchise_position,years_since_last_installment,Source_Comic_Graphic_Novel,budget_per_theater,avg_ticket_price,consumer_sentiment
tt2488496,245000000,PG-13,Star Wars Collection,10.0,"android, spacecraft, space opera, absurd","Lucasfilm Ltd., Bad Robot",Lucasfilm Ltd.,J.J. Abrams,15344.0,1.6245,"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley",Harrison Ford,3.0,5.7601,10.71,Star Wars: Episode VII - The Force Awakens,390856054,Walt Disney Studios Motion Pictures,138.0,"Action,Adventure,Sci-Fi",4134.0,2015-12-18,2015,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,81833782,91000048,3,0,0,0,58740560.34328358,2,1,0,0,0,4,0.0,0,57186770.0,1.0,0.0,0,59264.634736332846,8.43,92.9
tt2527336,300000000,PG-13,Star Wars Collection,10.0,"bunker, space battle, defeat, failure, sequel",Lucasfilm Ltd.,Lucasfilm Ltd.,Rian Johnson,67367.0,1.2753,"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley, John Boyega",Mark Hamill,2.0,3.3317,6.8445,Star Wars: Episode VIII - The Last Jedi,296602356,Walt Disney Studios Motion Pictures,152.0,"Action,Adventure,Fantasy",4232.0,2017-12-15,2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28100651,91000048,1,0,0,0,71934569.56470588,2,1,0,0,0,4,390856054.0,1,390856054.0,2.0,1.9931553730321698,0,70888.46880907372,8.97,96.8
tt2527338,489900000,PG-13,Star Wars Collection,10.0,space opera,"Lucasfilm Ltd., Bad Robot",Lucasfilm Ltd.,J.J. Abrams,15344.0,1.6245,"Carrie Fisher, Mark Hamill, Daisy Ridley, Adam Driver, John Boyega",Carrie Fisher,4.0,1.6182,8.8995,Star Wars: Episode IX - The Rise of Skywalker,289796816,Walt Disney Studios Motion Pictures,141.0,"Action,Adventure,Fantasy",4406.0,2019-12-20,2019,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,159089350,91000048,4,0,0,0,89979141.21153846,2,1,0,0,0,4,296602356.0,1,296602356.0,3.0,2.0123203285420943,0,111189.28733545166,9.16,96.0
tt1462764,294700000,PG-13,Indiana Jones Collection,84.0,"melancholy, treasure hunt, ancient rome, sequel, flashback",Lucasfilm Ltd.,Lucasfilm Ltd.,James Mangold,366.0,0.8014,"Harrison Ford, Phoebe Waller-Bridge, Mads Mikkelsen, Boyd Holbrook, Olivier Richters",Harrison Ford,3.0,5.201,14.7143,Indiana Jones and the Dial of Destiny,94705329,Walt Disney Studios Motion Pictures,154.0,"Action,Adventure,Sci-Fi",4600.0,2023-06-30,2023,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,76703384,211830046,3,0,0,0,91874497.48360656,2,1,0,0,0,4,0.0,0,57186770.0,1.0,0.0,0,64065.217391304344,10.94,65.3
tt1345836,250000000,PG-13,The Dark Knight Collection,263.0,"airplane, fight, burglar, hostage, secret identity","Syncopy, Legendary Pictures, DC Entertainment, Warner Bros. Pictures",Syncopy,Christopher Nolan,525.0,8.3755,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt, Anne Hathaway",Christian Bale,3894.0,6.7369,27.7871,The Dark Knight Rises,225011359,Warner Bros.,164.0,"Action,Crime,Drama",4404.0,2012-07-20,2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100158412,71859503,1,0,0,0,41612510.30434783,2,1,0,1,0,4,0.0,0,57186770.0,1.0,0.0,0,56766.57584014532,7.96,76.6
tt1298650,379000000,PG-13,Pirates of the Caribbean Collection,295.0,"sea, ship, mutiny, spain, england","Walt Disney Pictures, Jerry Bruckheimer Films, Moving Picture Company",Walt Disney Pictures,Rob Marshall,17633.0,0.5105,"Johnny Depp, Penélope Cruz, Geoffrey Rush, Ian McShane, Kevin McNally",Johnny Depp,85.0,6.4154,12.7235,Pirates of the Caribbean: On Stranger Tides,113595287,Walt Disney Studios Motion Pictures,136.0,"Action,Adventure,Fantasy",4155.0,2011-05-20,2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,91000048,38251206,0,0,0,0,42254464.34615385,2,1,0,0,0,4,0.0,0,57186770.0,1.0,0.0,0,91215.40312876053,7.93,67.3
tt1790809,230000000,PG-13,Pirates of the Caribbean Collection,295.0,"treasure map, artifact, pirate, swashbuckler, ghost","Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil",Walt Disney Pictures,Espen Sandberg,20308.0,0.3065,"Johnny Depp, Javier Bardem, Geoffrey Rush, Brenton Thwaites, Kaya Scodelario",Johnny Depp,85.0,6.5945,13.581,Pirates of the Caribbean: Dead Men Tell No Tales,93008771,Walt Disney Studios Motion Pictures,129.0,"Action,Adventure,Fantasy",4276.0,2017-05-26,2017,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,91000048,37987545,0,0,0,0,70533294.91358025,2,1,0,0,0,4,113595287.0,1,113595287.0,2.0,6.017796030116359,0,53788.587464920485,8.97,96.8
tt0369610,150000000,PG-13,Jurassic Park Collection,328.0,"island, primal fear, escape, velociraptor, dna","Amblin Entertainment, Universal Pictures, Legendary Pictures",Amblin Entertainment,Colin Trevorrow,930707.0,1.29,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio, Ty Simpkins",Chris Pratt,73457.0,6.5148,12.356,Jurassic World,296211655,Universal Pictures,124.0,"Action,Adventure,Sci-Fi",4274.0,2015-06-12,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49701588,107346884,0,0,0,0,36960886.180851065,2,1,0,0,0,4,0.0,0,57186770.0,1.0,0.0,0,35095.92887225082,8.43,92.9
tt4881806,170000000,PG-13,Jurassic Park Collection,328.0,"tyrannosaurus rex, volcano, rescue mission, sequel, wild animal","Amblin Entertainment, Universal Pictures",Amblin Entertainment,J.A. Bayona,51894.0,0.7867,"Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith, Daniella Pineda",Chris Pratt,73457.0,6.5148,13.5639,Jurassic World: Fallen Kingdom,204787335,Universal Pictures,128.0,"Action,Adventure,Sci-Fi",4475.0,2018-06-22,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,91000048,173515711,0,0,0,0,41491996.183823526,2,1,0,0,0,4,296211655.0,1,296211655.0,2.0,3.028062970568104,0,37988.82681564246,9.11,98.4
tt8041270,583900000,PG-13,Jurassic Park Collection,328.0,"paleontology, giant monster, sequel, survival, dinosaur","Amblin Entertainment, Universal Pictures",Amblin Entertainment,Colin Trevorrow,930707.0,1.29,"Chris Pratt, Bryce Dallas Howard, Laura Dern, Sam Neill, Jeff Goldblum",Chris Pratt,73457.0,6.5148,15.0831,Jurassic World: Dominion,191136690,Universal Pictures,147.0,"Action,Adventure,Sci-Fi",4676.0,2022-06-10,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,296211655,156620923,1,0,0,0,39255574.951612905,2,1,0,0,0,4,204787335.0,1,204787335.0,3.0,3.9671457905544147,0,124871.68520102651,10.53,59.0
tt31036941,180000000,PG-13,Jurassic Park Collection,328.0,"island, secret mission, stranded, dinosaur, family","Universal Pictures, Amblin Entertainment",Universal Pictures,Gareth Edwards,129894.0,0.8892,"Scarlett Johansson, Mahershala Ali, Jonathan Bailey, Rupert Friend, Manuel Garcia-Rulfo",Scarlett Johansson,1245.0,27.9024,39.1496,Jurassic World: Rebirth,174574875,Universal Pictures,133.0,"Action,Adventure,Sci-Fi",4063.0,2025-07-02,2025,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,119392693,43245519,3,0,0,0,41968011.42666667,2,1,0,0,0,4,191136690.0,1,191136690.0,4.0,3.060917180013689,0,44302.23972434162,11.31,58.0
